,Species,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
136,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-26.295, -25.834]"
137,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-27.02, -26.295]"
138,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-26.295, -25.834]"
139,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-26.295, -25.834]"
140,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(15.6, 17.3]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.834, -25.081]"
141,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",MALE,"(9.141, 10.025]","(-26.295, -25.834]"
142,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(13.099, 15.6]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-27.02, -26.295]"
143,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(15.6, 17.3]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
144,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-26.295, -25.834]"
145,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-26.295, -25.834]"
146,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(4050.0, 4750.0]",MALE,"(8.652, 9.141]","(-25.834, -25.081]"
147,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-25.834, -25.081]"
148,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-25.834, -25.081]"
149,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(17.3, 18.7]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-26.295, -25.834]"
150,Adelie Penguin (Pygoscelis adeliae),"(32.099000000000004, 39.225]","(15.6, 17.3]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(8.652, 9.141]","(-26.295, -25.834]"
151,Adelie Penguin (Pygoscelis adeliae),"(39.225, 44.45]","(17.3, 18.7]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-26.295, -25.834]"
152,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(17.3, 18.7]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-25.081, -23.788]"
153,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-25.081, -23.788]"
154,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
155,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.306, 8.652]","(-25.081, -23.788]"
156,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-25.081, -23.788]"
157,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(17.3, 18.7]","(197.0, 213.0]","(3550.0, 4050.0]",FEMALE,"(8.652, 9.141]","(-25.081, -23.788]"
158,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-25.081, -23.788]"
159,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(17.3, 18.7]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(8.306, 8.652]","(-25.081, -23.788]"
160,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(18.7, 21.5]","(190.0, 197.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-25.081, -23.788]"
161,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-25.081, -23.788]"
162,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(17.3, 18.7]","(190.0, 197.0]","(3550.0, 4050.0]",FEMALE,"(8.652, 9.141]","(-25.081, -23.788]"
163,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-25.081, -23.788]"
164,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(15.6, 17.3]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(8.652, 9.141]","(-25.081, -23.788]"
165,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(17.3, 18.7]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(8.652, 9.141]","(-25.081, -23.788]"
166,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(15.6, 17.3]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(8.652, 9.141]","(-25.081, -23.788]"
167,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
168,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(190.0, 197.0]","(2699.999, 3550.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
169,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
170,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
171,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(17.3, 18.7]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
172,Chinstrap penguin (Pygoscelis antarctica),"(39.225, 44.45]","(15.6, 17.3]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
173,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(17.3, 18.7]","(190.0, 197.0]","(2699.999, 3550.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
174,Chinstrap penguin (Pygoscelis antarctica),"(39.225, 44.45]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
175,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
176,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(17.3, 18.7]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
177,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(190.0, 197.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
178,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(17.3, 18.7]","(197.0, 213.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-25.081, -23.788]"
179,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
180,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(17.3, 18.7]","(190.0, 197.0]","(3550.0, 4050.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
181,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
182,Chinstrap penguin (Pygoscelis antarctica),"(39.225, 44.45]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(8.652, 9.141]","(-25.081, -23.788]"
183,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
184,Chinstrap penguin (Pygoscelis antarctica),"(39.225, 44.45]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
185,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
186,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(17.3, 18.7]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
187,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(15.6, 17.3]","(197.0, 213.0]","(3550.0, 4050.0]",FEMALE,"(8.652, 9.141]","(-25.834, -25.081]"
188,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(17.3, 18.7]","(190.0, 197.0]","(3550.0, 4050.0]",FEMALE,"(8.652, 9.141]","(-25.081, -23.788]"
189,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(4750.0, 6300.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
190,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(15.6, 17.3]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
191,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
192,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
193,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(17.3, 18.7]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
194,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(190.0, 197.0]","(2699.999, 3550.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
195,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(15.6, 17.3]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
196,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(17.3, 18.7]","(190.0, 197.0]","(3550.0, 4050.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
197,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(17.3, 18.7]","(197.0, 213.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
198,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
199,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
200,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(17.3, 18.7]","(171.999, 190.0]","(2699.999, 3550.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
201,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(15.6, 17.3]","(197.0, 213.0]","(3550.0, 4050.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
202,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(15.6, 17.3]","(197.0, 213.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
203,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
204,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(15.6, 17.3]","(190.0, 197.0]","(3550.0, 4050.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
205,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
206,Chinstrap penguin (Pygoscelis antarctica),"(39.225, 44.45]","(15.6, 17.3]","(171.999, 190.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
207,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(190.0, 197.0]","(2699.999, 3550.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
208,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(15.6, 17.3]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
209,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
210,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
211,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(18.7, 21.5]","(190.0, 197.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
212,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(8.306, 8.652]","(-25.081, -23.788]"
213,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(15.6, 17.3]","(171.999, 190.0]","(3550.0, 4050.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
214,Chinstrap penguin (Pygoscelis antarctica),"(44.45, 48.5]","(15.6, 17.3]","(190.0, 197.0]","(3550.0, 4050.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
215,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
216,Chinstrap penguin (Pygoscelis antarctica),"(39.225, 44.45]","(17.3, 18.7]","(197.0, 213.0]","(2699.999, 3550.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
217,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(17.3, 18.7]","(190.0, 197.0]","(3550.0, 4050.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
218,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(18.7, 21.5]","(197.0, 213.0]","(4050.0, 4750.0]",MALE,"(9.141, 10.025]","(-25.081, -23.788]"
219,Chinstrap penguin (Pygoscelis antarctica),"(48.5, 59.6]","(17.3, 18.7]","(197.0, 213.0]","(3550.0, 4050.0]",FEMALE,"(9.141, 10.025]","(-25.081, -23.788]"
220,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
221,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
222,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
223,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
224,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
225,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
226,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
227,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
228,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
229,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
230,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
231,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
232,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
233,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
234,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
235,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
236,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
237,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.081, -23.788]"
238,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
239,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
240,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
241,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
242,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
243,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
244,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
245,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
246,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
247,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
248,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
249,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
250,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-26.295, -25.834]"
251,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
252,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
253,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-25.834, -25.081]"
254,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
255,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
256,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(197.0, 213.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
257,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
258,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
259,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(197.0, 213.0]","(4750.0, 6300.0]",MALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
260,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(197.0, 213.0]","(3550.0, 4050.0]",FEMALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
261,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
262,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
263,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(13.099, 15.6]","(213.0, 231.0]","(4050.0, 4750.0]",MALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
264,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
265,Gentoo penguin (Pygoscelis papua),"(39.225, 44.45]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",FEMALE,"(7.630999999999999, 8.306]","(-27.02, -26.295]"
266,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
267,Gentoo penguin (Pygoscelis papua),"(48.5, 59.6]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.652, 9.141]","(-27.02, -26.295]"
268,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4750.0, 6300.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
269,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(15.6, 17.3]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
270,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4750.0, 6300.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
271,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(213.0, 231.0]","(4750.0, 6300.0]",MALE,"(8.306, 8.652]","(-27.02, -26.295]"
272,Gentoo penguin (Pygoscelis papua),"(44.45, 48.5]","(13.099, 15.6]","(197.0, 213.0]","(4050.0, 4750.0]",FEMALE,"(8.306, 8.652]","(-27.02, -26.295]"
